prefix,full album,Year
petro,PetroDragonic Apocalypse,2023
willoughbys,Willoughby's Beach,2011
12_bar_bruise,12 Bar Bruise,2012
eyes_like_the_sky,Eyes Like The Sky,2013
float_along_fill_your_lungs,Float Along - Fill Your Lungs,2013
oddments,Oddments,2014
mind_fuzz,I'm In Your Mind Fuzz,2014
quarters,Quarters!,2015
paper_mache,Paper Mâché Dream Balloon,2015
nonagon,Nonagon Infinity,2016
flying_microtonal_banana,Flying Microtonal Banana,2017
murder,Murder of the Universe,2017
brunswick,Sketches of Brunswick East,2017
polygondwanaland,Polygondwanaland,2017
gumboot_soup,Gumboot Soup,2017
fishing,Fishing for Fishies,2019
infest,Infest the Rats' Nest,2019
kg,K.G.,2020
lw,L.W.,2021
butterfly,Butterfly 3000,2021
omnium,Omnium Gatherum,2022
ice,"Ice, Death, Planets, Lungs, Mushrooms And Lava",2022
timeland,Made in Timeland,2022
laminated,Laminated Denim,2022
changes,Changes,2022
silver,The Silver Cord,2023
b741,Flight b741,2024
